datetime,value
10/10/2014 22:00,584739.4
10/11/2014 22:00,514007.7
10/12/2014 22:00,595905
10/13/2014 22:00,633869
10/14/2014 22:00,646067.3
10/15/2014 22:00,625913.2
10/16/2014 22:00,624077.7
10/17/2014 22:00,569648.3
10/18/2014 22:00,522811.9
10/19/2014 22:00,631530.6
10/20/2014 22:00,651547.9
10/21/2014 22:00,656908.1
10/22/2014 22:00,654706.6
10/23/2014 22:00,649080.8
10/24/2014 22:00,571977.8
10/25/2014 22:00,539937.1
10/26/2014 23:00,625986.6
10/27/2014 23:00,650110.4
10/28/2014 23:00,648847.5
10/29/2014 23:00,646154.6
10/30/2014 23:00,647351.5
10/31/2014 23:00,566429.8
11/1/2014 23:00,528498.3
11/2/2014 23:00,649105.2
11/3/2014 23:00,661985.2
11/4/2014 23:00,674703.1
11/5/2014 23:00,674165.6
11/6/2014 23:00,660338
11/7/2014 23:00,585771.7
11/8/2014 23:00,536696.4
11/9/2014 23:00,636267.4
11/10/2014 23:00,670292.9
11/11/2014 23:00,662213.6
11/12/2014 23:00,697934.5
11/13/2014 23:00,682528
11/14/2014 23:00,598658.1
11/15/2014 23:00,558161.9
11/16/2014 23:00,668309.5
11/17/2014 23:00,692122.1
11/18/2014 23:00,693765.3
11/19/2014 23:00,682831.3
11/20/2014 23:00,671399.3
11/21/2014 23:00,592164.5
11/22/2014 23:00,550314.3
11/23/2014 23:00,655219.7
11/24/2014 23:00,669402.9
11/25/2014 23:00,676188
11/26/2014 23:00,685887.6
11/27/2014 23:00,665593.3
11/28/2014 23:00,594243.2
11/29/2014 23:00,557117.2
11/30/2014 23:00,687908.1
12/1/2014 23:00,699847.1
12/2/2014 23:00,688006.5
12/3/2014 23:00,685542.7
12/4/2014 23:00,706620
12/5/2014 23:00,603689.1
12/6/2014 23:00,579275.3
12/7/2014 23:00,578493.8
12/8/2014 23:00,681644.7
12/9/2014 23:00,690817
12/10/2014 23:00,705802.5
12/11/2014 23:00,736746
12/12/2014 23:00,637583.2
12/13/2014 23:00,594162.1
12/14/2014 23:00,713351
12/15/2014 23:00,735098.1
12/16/2014 23:00,729300.6
12/17/2014 23:00,711734.3
12/18/2014 23:00,712479.4
12/19/2014 23:00,628519.5
12/20/2014 23:00,592502.5
12/21/2014 23:00,665706.7
12/22/2014 23:00,642992.9
12/23/2014 23:00,550006.8
12/24/2014 23:00,498533.4
12/25/2014 23:00,552442.1
12/26/2014 23:00,567810.6
12/27/2014 23:00,554312.6
12/28/2014 23:00,623671.6
12/29/2014 23:00,613933.8
12/30/2014 23:00,564397.1
12/31/2014 23:00,550254.5
1/1/2015 23:00,624421.3
1/2/2015 23:00,603519.6
1/3/2015 23:00,564648
1/4/2015 23:00,642469.7
1/5/2015 23:00,574126.6
1/6/2015 23:00,691474.8
1/7/2015 23:00,732249.6
1/8/2015 23:00,745669.3
1/9/2015 23:00,641824.3
1/10/2015 23:00,578798.2
1/11/2015 23:00,730009.9
1/12/2015 23:00,751849.3
1/13/2015 23:00,749940.2
1/14/2015 23:00,760869.8
1/15/2015 23:00,760521.6
1/16/2015 23:00,646295
1/17/2015 23:00,592179
1/18/2015 23:00,746691.7
1/19/2015 23:00,765114.2
1/20/2015 23:00,776703.2
1/21/2015 23:00,774343.1
1/22/2015 23:00,775971.6
1/23/2015 23:00,666927.7
1/24/2015 23:00,596161.7
1/25/2015 23:00,749537.8
1/26/2015 23:00,781252.5
1/27/2015 23:00,767265.7
1/28/2015 23:00,769954.8
1/29/2015 23:00,760797.6
1/30/2015 23:00,653265.5
1/31/2015 23:00,620483.2
2/1/2015 23:00,755534.1
2/2/2015 23:00,766115.9
2/3/2015 23:00,755099.6
2/4/2015 23:00,761647.2
2/5/2015 23:00,751304
2/6/2015 23:00,684848.1
2/7/2015 23:00,616555.8
2/8/2015 23:00,773403.4
2/9/2015 23:00,772019.9
2/10/2015 23:00,764118.9
2/11/2015 23:00,763184.6
2/12/2015 23:00,754991
2/13/2015 23:00,662226
2/14/2015 23:00,601097.1
2/15/2015 23:00,732194.2
2/16/2015 23:00,750376.5
2/17/2015 23:00,739045.4
2/18/2015 23:00,747421.8
2/19/2015 23:00,726577.4
2/20/2015 23:00,652852.7
2/21/2015 23:00,607770.7
2/22/2015 23:00,742753.6
2/23/2015 23:00,754543.9
2/24/2015 23:00,753892.5
2/25/2015 23:00,741323.4
2/26/2015 23:00,719982.5
2/27/2015 23:00,633191.4
2/28/2015 23:00,583654.3
3/1/2015 23:00,680217.4
3/2/2015 23:00,688983.7
3/3/2015 23:00,702790.9
3/4/2015 23:00,702801.3
3/5/2015 23:00,689017.5
3/6/2015 23:00,618817.6
3/7/2015 23:00,566775.4
3/8/2015 23:00,672614.3
3/9/2015 23:00,702263.4
3/10/2015 23:00,688783.7
3/11/2015 23:00,677803.9
3/12/2015 23:00,675386.7
3/13/2015 23:00,622217.4
3/14/2015 23:00,573728.1
3/15/2015 23:00,662637.2
3/16/2015 23:00,691017.7
3/17/2015 23:00,688443.3
3/18/2015 23:00,639352.3
3/19/2015 23:00,674310.7
3/20/2015 23:00,626196.9
3/21/2015 23:00,582647.6
3/22/2015 23:00,677929.8
3/23/2015 23:00,711188.7
3/24/2015 23:00,717832
3/25/2015 23:00,705142.1
3/26/2015 23:00,698251.6
3/27/2015 23:00,631460.8
3/28/2015 23:00,552668.9
3/29/2015 22:00,661724.4
3/30/2015 22:00,671270.4
3/31/2015 22:00,634282.6
4/1/2015 22:00,562362.9
4/2/2015 22:00,495906.4
4/3/2015 22:00,535855.8
4/4/2015 22:00,518402.1
4/5/2015 22:00,570283.5
4/6/2015 22:00,640958
4/7/2015 22:00,653841.4
4/8/2015 22:00,645079
4/9/2015 22:00,654931.9
4/10/2015 22:00,588185.4
4/11/2015 22:00,536487.1
4/12/2015 22:00,636658.3
4/13/2015 22:00,657381.3
4/14/2015 22:00,655117.3
4/15/2015 22:00,671505.7
4/16/2015 22:00,664801.3
4/17/2015 22:00,596475.6
4/18/2015 22:00,533962.3
4/19/2015 22:00,640731.8
4/20/2015 22:00,678493
4/21/2015 22:00,659551.6
4/22/2015 22:00,648111.6
4/23/2015 22:00,650471.8
4/24/2015 22:00,580844
4/25/2015 22:00,532421.7
4/26/2015 22:00,638420.1
4/27/2015 22:00,664626.5
4/28/2015 22:00,663157.4
4/29/2015 22:00,657340.8
4/30/2015 22:00,528349.5
5/1/2015 22:00,537556.9
5/2/2015 22:00,523854.2
5/3/2015 22:00,630058.8
5/4/2015 22:00,647519
5/5/2015 22:00,645223
5/6/2015 22:00,655604.7
5/7/2015 22:00,654516.1
5/8/2015 22:00,593672.9
5/9/2015 22:00,547939.4
5/10/2015 22:00,663111.6
5/11/2015 22:00,685016.1
5/12/2015 22:00,688495.1
5/13/2015 22:00,697955.4
5/14/2015 22:00,669308.8
5/15/2015 22:00,604191.9
5/16/2015 22:00,557225.3
5/17/2015 22:00,661154.5
5/18/2015 22:00,682316.8
5/19/2015 22:00,675489.5
5/20/2015 22:00,676076.5
5/21/2015 22:00,659503.2
5/22/2015 22:00,591503.4
5/23/2015 22:00,536795.1
5/24/2015 22:00,641953.8
5/25/2015 22:00,665561.5
5/26/2015 22:00,667676.3
5/27/2015 22:00,668208.3
5/28/2015 22:00,656479
5/29/2015 22:00,590525.6
5/30/2015 22:00,545834.3
5/31/2015 22:00,650402
6/1/2015 22:00,673356.9
6/2/2015 22:00,684865.4
6/3/2015 22:00,671465.2
6/4/2015 22:00,685398.7
6/5/2015 22:00,621413.9
6/6/2015 22:00,565520.1
